id,stateabb,ccode,leader,s_date,s_month,start_year,e_month,end_year,birthyear,gender,military_career,start_age,end_age,duration,country,oecd,gdp,eu27,gseven,gtwenty,brics,label,pcgdp
402,DMA,54,Rosie Douglas,3,2,2000,10,2000,1941,Male,0,59,59,0,Dominica,0,0.526516557,0,0,0,0,0,NA
403,PAN,95,"Chiari, Roberto",1,10,1960,10,1964,1905,Male,0,55,59,4,Panama,0,53.50344849,0,0,0,0,0,NA
404,VEN,101,Campins,12,3,1979,2,1984,1925,Male,0,54,59,5,Venezuela,0,,0,0,0,0,0,NA
405,VEN,101,Hugo Chavez,2,2,1999,3,2013,1954,Male,1,45,59,14,Venezuela,0,,0,0,0,0,0,4121.580078
406,SUR,115,Wijdenbosch,15,9,1996,8,2000,1941,Male,0,55,59,4,Suriname,0,4.823753834,0,0,0,0,0,2605.669922
407,PER,135,Odria,28,7,1950,7,1956,1897,Male,1,53,59,6,Peru,0,222.4911194,0,0,0,0,0,NA
408,PER,135,Morales Bermudez,30,8,1975,7,1980,1921,Male,1,54,59,5,Peru,0,222.4911194,0,0,0,0,0,NA
409,PER,135,Manuel Merino,10,11,2020,11,2020,1961,Male,0,59,59,0,Peru,0,222.4911194,0,0,0,0,0,5844.691895
410,BRA,140,Kubitschek,31,1,1956,1,1961,1902,Male,0,54,59,5,Brazil,0,2379.456543,0,0,1,1,0,NA
411,ARG,160,Lonardi,20,9,1955,11,1955,1896,Male,1,59,59,0,Argentina,0,456.1006165,0,0,1,0,0,NA
412,SWZ,225,Feldmann,1,1,1956,12,1956,1897,Male,0,59,59,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
413,SWZ,225,von Moos,1,1,1969,12,1969,1910,Male,0,59,59,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
414,SWZ,225,Gnagi,1,1,1976,12,1976,1917,Male,0,59,59,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
415,SWZ,225,Schlumpf,1,1,1984,12,1984,1925,Male,0,59,59,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
416,SWZ,225,Felber,1,1,1992,12,1992,1933,Male,0,59,59,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
417,SWZ,225,Cotti,1,1,1998,12,1998,1939,Male,0,59,59,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
418,AND,232,Molne,7,12,1994,5,2005,1946,Male,0,48,59,11,Andorra,0,NA,0,0,0,0,0,NA
419,GNB,404,Mane,7,5,1999,5,1999,1940,Male,1,59,59,0,Guinea-Bissau,0,1.272050381,0,0,0,0,0,NA
420,GNB,404,Henrique Pereira Rosa,28,9,2003,10,2005,1946,Male,0,57,59,2,Guinea-Bissau,0,1.272050381,0,0,0,0,0,NA
421,GHA,452,Busia,3,9,1969,1,1972,1913,Male,0,56,59,3,Ghana,0,60.47307587,0,0,0,0,0,NA
422,GHA,452,Mahama,24,7,2012,1,2017,1958,Male,0,54,59,5,Ghana,0,60.47307587,0,0,0,0,0,2184.389893
423,IRN,630,Khatami,3,8,1997,8,2005,1946,Male,0,51,59,8,Iran,0,,0,0,0,0,0,3041.219971
424,IRQ,645,al-Jaafari,3,5,2005,5,2006,1947,Male,0,58,59,1,Iraq,0,219.1729431,0,0,0,0,0,NA
425,CHN,710,Hua Guofeng,7,10,1976,9,1980,1921,Male,1,55,59,4,China,0,12214.875,0,0,1,1,0,NA
426,IND,750,Pratap Singh,2,12,1989,11,1990,1931,Male,0,58,59,1,India,0,3228.86377,0,0,1,1,0,361.45401
427,PAK,770,Nazimuddin,17,10,1951,4,1953,1894,Male,0,57,59,2,Pakistan,0,267.4912415,0,0,0,0,0,NA
428,PAK,770,Jatoi,6,8,1990,11,1990,1931,Male,0,59,59,0,Pakistan,0,267.4912415,0,0,0,0,0,495.9889832
429,LAO,812,Souvanna Phouma,15,8,1960,12,1960,1901,Male,0,59,59,0,Laos,0,,0,0,0,0,0,NA
430,DOM,42,de los Santos,26,9,1963,12,1963,1903,Male,0,60,60,0,Dominican Republic,0,91.04623413,0,0,0,0,0,NA
431,DOM,42,Blanco,16,8,1982,8,1986,1926,Male,0,56,60,4,Dominican Republic,0,91.04623413,0,0,0,0,0,1545.100098
432,NIC,93,Anastasio Somoza Garcia,26,5,1947,9,1956,1896,Male,0,51,60,9,Nicaragua,0,11.4362793,0,0,0,0,0,NA
433,SUR,115,Venetiaan,16,9,1991,9,1996,1936,Male,0,55,60,5,Suriname,0,4.823753834,0,0,0,0,0,1434.460083
434,PER,135,Alejandro Toledo,28,7,2001,7,2006,1946,Male,0,55,60,5,Peru,0,222.4911194,0,0,0,0,0,NA
435,BRA,140,Sarnay,21,3,1985,3,1990,1930,Male,0,55,60,5,Brazil,0,2379.456543,0,0,1,1,0,NA
436,BOL,145,Evo Morales,22,1,2006,11,2019,1959,Male,0,47,60,13,Bolivia,0,,0,0,0,0,0,1240.939941
437,ARG,160,Peron,4,6,1946,9,1955,1895,Male,1,51,60,9,Argentina,0,456.1006165,0,0,1,0,0,NA
438,ARG,160,Macri,10,12,2015,12,2019,1959,Male,0,56,60,4,Argentina,0,456.1006165,0,0,1,0,0,14895.32031
439,SWZ,225,Bonvin,1,1,1967,12,1967,1907,Male,0,60,60,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
440,SWZ,225,Brugger,1,1,1974,12,1974,1914,Male,0,60,60,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
441,SWZ,225,Ritschard,1,1,1978,12,1978,1918,Male,0,60,60,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
442,SWZ,225,Aubert,1,1,1987,12,1987,1927,Male,0,60,60,0,Switzerland,1,691.0378418,0,0,0,0,0,29646.51953
443,SWZ,225,Delamuraz,1,1,1996,12,1996,1936,Male,0,60,60,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
444,SWZ,225,Leuenberger,1,1,2006,12,2006,1946,Male,0,60,60,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
445,MLT,338,Olivier,5,3,1962,6,1971,1911,Male,0,51,60,9,Malta,0,14.8592577,1,0,0,0,0,NA
446,MLT,338,Gonzi,12,3,2004,3,2013,1953,Male,0,51,60,9,Malta,0,14.8592577,1,0,0,0,0,NA
447,RUS,365,Gorbachev,11,3,1985,8,1991,1931,Male,0,54,60,6,Russia,0,1782.059692,0,0,1,1,0,NA
448,UKR,369,Kravchuk,18,7,1990,7,1994,1934,Male,0,56,60,4,Ukraine,0,139.1454468,0,0,0,0,0,NA
449,BLR,370,Shushkevich,18,9,1991,1,1994,1934,Male,0,57,60,3,Belarus,0,65.75815582,0,0,0,0,0,NA
450,GNB,404,Vieira,14,11,1980,5,1999,1939,Male,1,41,60,19,Guinea-Bissau,0,1.272050381,0,0,0,0,0,NA
451,COM,581,Bob Denard,13,5,1978,12,1989,1929,Male,1,49,60,11,Comoros,0,NA,0,0,0,0,0,578.6125488
452,COM,581,Assoumani,26,5,2016,2,2019,1959,Male,1,57,60,3,Comoros,0,NA,0,0,0,0,0,1274.439941
453,IRN,630,Mohammad Reza,19,8,1953,1,1979,1919,Male,0,34,60,26,Iran,0,,0,0,0,0,0,NA
454,PAK,770,Chundrigar,17,10,1957,12,1957,1897,Male,0,60,60,0,Pakistan,0,267.4912415,0,0,0,0,0,NA
455,PAK,770,Abbasi,1,8,2017,5,2018,1958,Male,0,59,60,1,Pakistan,0,267.4912415,0,0,0,0,0,NA
456,SWZ,225,Kobelt,1,1,1952,12,1952,1891,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
457,SWZ,225,Petipierre,1,1,1960,12,1960,1899,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
458,SWZ,225,Chaudet,1,1,1962,12,1962,1901,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
459,SWZ,225,Spuhler,1,1,1963,12,1963,1902,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
460,SWZ,225,Hurlimann,1,1,1979,12,1979,1918,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,17434.58984
461,SWZ,225,Furgler,1,1,1985,12,1985,1924,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
462,SWZ,225,Stich,1,1,1988,12,1988,1927,Male,0,61,61,0,Switzerland,1,691.0378418,0,0,0,0,0,NA
