name,category,start,end,cost,mid,year,display_name
Southeast/ Ohio Valley Tornadoes,severe-storm,2012-03-02,2012-03-03,3.4,2012-03-02,2012,Southeast/Ohio Valley Tornadoes
Hurricane Marilyn,tropical-cyclone,1995-09-15,1995-09-17,3.4,1995-09-16,1995,Hurricane Marilyn
Western Wildfires,drought-wildfire,2007-06-01,2007-08-31,3.3,2007-07-16,2007,Western Wildfires
Mississippi River flooding,flooding,2011-04-01,2011-05-31,3.3,2011-05-01,2011,Mississippi River flooding
Western and Alaskan Wildfires,drought-wildfire,2015-06-01,2015-11-30,3.2,2015-08-31,2015,Western and Alaskan Wildfires
Hurricane Dennis,tropical-cyclone,2005-07-09,2005-07-11,3.2,2005-07-10,2005,Hurricane Dennis
Plains/ East/ Northeast Severe Weather,severe-storm,2012-06-29,2012-07-02,3.1,2012-06-30,2012,Plains/East/Northeast Severe Weather
Midwest/ Southeast Tornadoes,severe-storm,2011-04-04,2011-04-05,3.1,2011-04-04,2011,Midwest/Southeast Tornadoes
"Central and Eastern Winter storm, Cold Wave",winter-storm-freeze,2015-02-14,2015-02-20,3.1,2015-02-17,2015,"Central and Eastern Winter storm, Cold Wave"
Oklahoma and Kansas Tornadoes,severe-storm,1999-05-03,1999-05-06,3,1999-05-04,1999,Oklahoma and Kansas Tornadoes
Midwest Tornadoes,severe-storm,2006-04-13,2006-04-16,3,2006-04-14,2006,Midwest Tornadoes
Hurricane Isaac,tropical-cyclone,2012-08-26,2012-08-31,3,2012-08-28,2012,Hurricane Isaac
Hurricane Elena,tropical-cyclone,1985-08-30,1985-09-03,3,1985-09-01,1985,Hurricane Elena
East/ South Severe Weather and Flooding,severe-storm,2007-04-13,2007-04-17,3,2007-04-15,2007,East/South Severe Weather and Flooding
Severe Storms and Tornadoes,severe-storm,2002-04-27,2002-04-28,2.9,2002-04-27,2002,Severe Storms and Tornadoes
Tropical Storm Lee,tropical-cyclone,2011-09-01,2011-09-05,2.8,2011-09-03,2011,Tropical Storm Lee
Southern Plains Drought,drought-wildfire,1996-03-01,1996-08-31,2.8,1996-05-31,1996,Southern Plains Drought
Rockies/ Southwest Severe Weather,severe-storm,2012-06-06,2012-06-12,2.8,2012-06-09,2012,Rockies/Southwest Severe Weather
Houston Flooding,flooding,2016-04-17,2016-04-18,2.8,2016-04-17,2016,Houston Flooding
Florida Freeze,winter-storm-freeze,1985-01-20,1985-01-22,2.8,1985-01-21,1985,Florida Freeze
Severe Storms/ Hail,severe-storm,2003-04-04,2003-04-07,2.7,2003-04-05,2003,Severe Storms/Hail
Hurricane Bob,tropical-cyclone,1991-08-18,1991-08-20,2.7,1991-08-19,1991,Hurricane Bob
Texas and Oklahoma Flooding and Severe Weather,flooding,2015-05-23,2015-05-26,2.6,2015-05-24,2015,Texas and Oklahoma Flooding and Severe Weather
East/ South Flooding and Severe Weather,flooding,2010-04-30,2010-05-02,2.6,2010-05-01,2010,East/South Flooding and Severe Weather
Western/ Southeast Wildfires,drought-wildfire,2016-06-01,2016-12-31,2.5,2016-09-15,2016,Western/Southeast Wildfires
Spring Freeze,winter-storm-freeze,2007-04-04,2007-04-10,2.5,2007-04-07,2007,Spring Freeze
Southern Plains/ Midwest/ Northeast Severe Weather,severe-storm,2012-05-25,2012-05-30,2.5,2012-05-27,2012,Southern Plains/Midwest/Northeast Severe Weather
